4*125 ноги ласты 100 вс+25дельф/нс 100 закуп,
,500
3*100 брасс через 50 нс 100 закуп,
,450
8*100 вс колоп,
,800
400 компл,
,400
300 откуп,
,300
,
,
,
,
,
,
итог,3000
время,85
,
,
2.4.2026,
,
100 вс 50 компл 100 вс 100 компл 100 вс 200 компл,
,650
6*100 ласты  + L + утяжелители браслеты руки r2',
,600
200 нс майка,
,200
6*50 колоп + s R1',
,300
200 бр майка,
,200
1100трубка,
,1100
,
,
,
,
,
,
итог,3050
время,74
,
9.4.2026,
,
600 майка 600 ласты 4*150 каждый  в порядке компл,
,1800
6*50 ноги вс+батт по 25,
,300
200 вс кресер + 200 ласты проныр 15 м,
,400
150 брасс мин кол во гребков,
,150
100 вс 70% 100 нс,
,200
12*50 вс бр спина по 50  4 раза,
,600
Закуп,
,100
,
,
,
,
итог,3550
время,80
,
16.4.2026,
,
600 майка 600 ласты 4*150 каждый  в порядке компл,
,1200
6*50 ноги вс+батт по 25,
,300
200 вс кресер + 200 ласты проныр 15 м,
,400
150 брасс мин кол во гребков,
,150
100 вс 70% 100 нс,
,200
12*50 вс бр спина по 50  4 раза,
,600
,
,
,
,
,
,
итог,2850
время,76
,
,
23.4.2026,
,
1000 ласты разминка,
,1000
2*200 ноги компл+вс,
,400
100 своб,
,100
"10*50 вс колоп R 1'10""",
,500
2*100 ноги компл+вс,
,200
100 своб,
,100
6*50 вс R1',
,300
,
,
,
,
итог,2600
время,68
,
,
30.4.2026,
,
,
,
4*300,
,1200
100 своб,
,100
"10*50 вс колоп R 1'10""",
,500
2*100 ноги компл+вс,
,200
100 своб,
,100
6*50 вс R1',
,300
,
,
,
,
итог,2400
время,68
,
30/4/2026,
,
100 вс 50 компл 100 вс 100 компл 100 вс 200 компл,
,650
6*100   L ,
,600
200 нс майка,
,200
6*50 колоп + s R1',
,300
200 бр майка,
,200
800вс,
,800
100 бр закуп,
,100
,
,
,
,
итог,2850
время,73
,
,
7.5.2025,
80.7,
Горка 25-50-75-100-75-50-25 вс через 25 нс,
,550
5*100 r 2' закуп 100,
,600
"4*300 вс через 100 бр, сп, бр",
,1500
3*100 вс разворот и выход + 50 брач,
,300
3*100 компл спокойно,
,300
100 откуп,
,100
,
,
,
,
,
,
итог,3350
время,83
