30.04.2025,,,,,,
77.55,1,2,3,4,5,6
Верхний блок,59.5,59.5,59.5,59.5,,
,13,13,13,13,,3094
Тяга к подбородку,28,28,28,28,,
,14,14,14,14,,1568
Фронтальная Тяга,50,50,50,50,,
,13,13,13,13,,2600
Гантели развод,9,9,9,9,,
,14,14,14,14,,504
Нижний блок,50.5,50.5,50.5,50.5,,
,13,13,13,13,,2626
голени подъем,30,30,30,30,,
,28,28,28,28,,3360
сгибания,45,45,45,45,,
,18,18,18,18,,3240
голени 2,70,70,70,70,,
,28,28,28,28,,7840
разгибания,49.5,49.5,49.5,49.5,,
,18,18,18,18,,3564
Жим одной ногой,60,60,60,60,,
,13,13,13,13,,3120
Жим 2мя ногами,160,160,160,160,,
,13,13,13,13,,8320
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,41188
,,,,,,
,,,,,,
21.05.2025,,,,,,
76.95,1,2,3,4,5,6
Верхний блок,59.5,59.5,59.5,59.5,,
,13,13,13,13,,3094
Тяга к подбородку,28,28,28,28,,
,18,18,18,18,,2016
Фронтальная Тяга,50,50,50,50,,
,13,13,13,13,,2600
Гантели развод,9,9,9,9,,
,18,18,18,18,,648
Нижний блок,57,57,57,57,,
,12,12,12,12,,2736
голени подъем,30,30,30,30,,
,28,28,28,28,,3360
сгибания,45,45,45,45,,
,18,18,18,18,,3240
голени 2,70,70,70,70,,
,28,28,28,28,,7840
разгибания,49.5,49.5,49.5,49.5,,
,18,18,18,18,,3564
Жим одной ногой,60,60,60,60,,
,13,13,13,13,,3120
Жим 2мя ногами,160,160,160,160,,
,13,13,13,13,,8320
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,41890
,,,,,,
,,,,,,
,,,,,,
04.06.2025,,,,,,
78.5,1,2,3,4,5,6
голени подъем,35,35,35,35,,
,30,30,30,30,,4200
сгибания,49.5,49.5,49.5,49.5,,
,18,18,18,18,,3564
голени 2,80,80,80,80,,
,28,28,28,28,,8960
разгибания,52,52,52,52,,
,18,18,18,18,,3744
Жим одной ногой,50,50,50,50,,
,13,13,13,13,,2600
Жим 2мя ногами,150,150,150,150,,
,13,13,13,13,,7800
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,36720
,,,,,,
,,,,,,
18.06.2025,,,,,,
79.1,1,2,3,4,5,6
голени подъем,35,35,35,35,,
,20,20,20,20,,2800
сгибания,49.5,49.5,49.5,49.5,,
,19,19,19,19,,3762
голени 2,80,80,80,80,,
,22,22,22,22,,7040
разгибания,52,52,52,52,,
,18,18,18,18,,3744
Жим одной ногой,65,65,65,65,,
,13,13,13,13,,3380
Жим 2мя ногами,150,150,150,150,,
,13,13,13,13,,7800
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
Колесо пресс,22,22,22,22,,
,22,22,22,22,,
,,,,,,
,,,,,,0
,,,,,,34378
25.06.2025,,,,,,
78.6,1,2,3,4,5,6
голени подъем,35,35,35,35,,
,30,30,30,30,,4200
сгибания,51,51,51,51,,
,18,18,18,18,,3672
голени 2,80,80,80,80,,
,22,22,22,22,,7040
разгибания,52,52,52,52,,
,18,18,18,18,,3744
Жим одной ногой,65,65,65,65,,
,13,13,13,13,,3380
Жим 2мя ногами,150,150,150,150,,
,13,13,13,13,,7800
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
Колесо пресс,22,22,22,22,,
,22,22,22,22,,
,,,,,,
,,,,,,0
,,,,,,35688
,,,,,,
10.09.2025,,,,,,
"80,1",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,23,23,23,23,,3220
сгибания,51,51,51,51,,
,19,19,19,19,,3876
голени 2,80,80,80,80,,
,23,23,23,23,,7360
разгибания,52,52,52,52,,
,19,19,19,19,,3952
Жим одной ногой,65,65,65,65,,
,14,14,14,14,,3640
Жим 2мя ногами,150,150,150,150,,
,14,14,14,14,,8400
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
Колесо пресс,22,22,22,22,,
,22,22,22,22,,
,,,,,,
,,,,,,0
,,,,,,36300
,,,,,,
,,,,,,
10.09.2025,,,,,,
"80,1",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,25,25,25,25,,3500
сгибания,51,51,51,51,,
,20,20,20,20,,4080
голени 2,80,80,80,80,,
,25,25,25,25,,8000
разгибания,52,52,52,52,,
,19,19,19,19,,3952
Жим одной ногой,50,50,50,50,,
,15,15,15,15,,3000
Жим 2мя ногами,150,150,150,150,,
,15,15,15,15,,9000
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
Колесо пресс,22,22,22,22,,
,22,22,22,22,,
,,,,,,
,,,,,,0
,,,,,,37384
,,,,,,
,,,,,,
24.09.2025,,,,,,
"81,3",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,26,26,26,26,,3640
сгибания,51,51,51,51,,
,21,21,21,21,,4284
голени 2,80,80,80,80,,
,26,26,26,26,,8320
разгибания,52,52,52,52,,
,21,21,21,21,,4368
Жим одной ногой,60,60,60,60,,
,12,12,12,12,,2880
Жим 2мя ногами,160,160,160,160,,
,12,12,12,12,,7680
Подтягивания ,75,75,75,75,,
,0,0,0,0,,0
Скручивания сверху диагональные,13,13,13,13,,
,0,0,0,0,,0
Колесо пресс,22,22,22,22,,
,0,0,0,0,,
,,,,,,
,,,,,,0
,,,,,,31172
,,,,,,
,,,,,,
24.09.2025,,,,,,
"81,45",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,27,27,27,27,,3780
сгибания,51,51,51,51,,
,22,22,22,22,,4488
голени 2,80,80,80,80,,
,27,27,27,27,,8640
разгибания,52,52,52,52,,
,22,22,22,22,,4576
Жим одной ногой,60,60,60,60,,
,14,14,14,14,,3360
Жим 2мя ногами,160,160,160,160,,
,14,14,14,14,,8960
Подтягивания ,75,75,75,75,,
,10,10,10,10,,3000
Скручивания сверху диагональные,13,13,13,13,,
,12,12,12,12,,624
Колесо пресс,22,22,22,22,,
,0,0,0,0,,
,,,,,,
,,,,,,0
,,,,,,37428
,,,,,,
,,,,,,
08.10.2025,,,,,,
"80,75",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,28,28,28,28,,3920
сгибания,59,59,59,59,,
,18,18,18,18,,4248
голени 2,80,80,80,80,,
,28,28,28,28,,8960
разгибания,59,59,59,59,,
,18,18,18,18,,4248
Жим одной ногой,60,60,60,60,,
,15,15,15,15,,3600
Жим 2мя ногами,160,160,160,160,,
,15,15,15,15,,9600
Подтягивания ,81,81,81,81,,
,11,11,11,11,,3564
