,17,17,17,17,,1700
блок триц,28.5,28.5,28.5,28.5,,
,17,17,17,17,,1938
Молот,10,10,10,10,,
,30,30,30,30,,1200
,,,,,,25132.8
,,,,,,
,,,,,,
6.6.2025,,,,,,
78.5,1,2,3,4,5,6
Жим Лежа,75,75,75,75,,
,12,12,12,14,,3750
Тяга к подбородку,31,31,31,31,,
,13,13,13,13,,1612
Рычажный жим,50,50,50,50,,
,12,12,12,12,,2400
Гантели развод,10,10,10,10,,
,14,14,14,14,,560
Жим от груди,56.5,56.5,56.5,56.5,,
,13,13,13,13,,2938
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,18,18,18,18,,676.8
бабочка,52,52,52,52,,
,17,17,17,17,,3536
обратная бабочка,45,45,45,45,,
,17,17,17,17,,3060
Разгибания из-за головы Триц,24,24,24,24,,
,17,17,17,17,,1632
штанга биц,25,25,25,25,,
,17,17,17,17,,1700
блок триц,28.5,28.5,28.5,28.5,,
,17,17,17,17,,1938
Молот,10,10,10,10,,
,30,30,30,30,,1200
,,,,,,25002.8
,,,,,,
,,,,,,
20.6.2025,,,,,,
78.5,1,2,3,4,5,6
Жим Лежа,75,75,75,75,,
,12,12,12,14,,3750
Тяга к подбородку,31,31,31,31,,
,13,13,13,13,,1612
Рычажный жим,50,50,50,50,,
,12,12,12,12,,2400
Гантели развод,10,10,10,10,,
,14,14,14,14,,560
Жим от груди,56.5,56.5,56.5,56.5,,
,13,13,13,13,,2938
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,18,18,18,18,,676.8
бабочка,52,52,52,52,,
,17,17,17,17,,3536
обратная бабочка,45,45,45,45,,
,17,17,17,17,,3060
Разгибания из-за головы Триц,24,24,24,24,,
,17,17,17,17,,1632
штанга биц,25,25,25,25,,
,17,17,17,17,,1700
блок триц,28.5,28.5,28.5,28.5,,
,17,17,17,17,,1938
Молот,10,10,10,10,,
,30,30,30,30,,1200
,,,,,,25002.8
,,,,,,
,,,,,,
27.6.2025,,,,,,
78.5,1,2,3,4,5,6
Жим Лежа,70,70,70,70,,
,12,12,12,14,,3500
Тяга к подбородку,31,31,31,31,,
,15,15,15,15,,1860
Рычажный жим,50,50,50,50,,
,13,13,13,13,,2600
Гантели развод,10,10,10,10,,
,14,14,14,14,,560
