28.10.2024,,,,,,,
,15,15,15,15,,2820,
Тяга к подбородку,21,21,21,21,,,
,14,14,14,14,,1176,
Фронтальная Тяга,40,40,40,40,,,
,15,15,15,15,,2400,
Гантели развод,7,7,7,7,,,
,14,14,14,14,,392,
Нижний блок,40,40,40,40,,,
,15,15,15,15,,2400,
Обр бабочка,38,38,38,38,,,
,14,14,14,14,,2128,
Разгибания из-за головы Триц,17.5,17.5,17.5,17.5,,,
,14,14,14,14,,980,
штанга биц,20,20,20,20,,,
,14,14,14,14,,1120,
блок триц,25,25,25,25,,,
,14,14,14,14,,1400,
тренажер биц,37,37,37,37,,,
,14,14,14,14,,2072,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,16968,
,,,,,,,
,,,,,,,
03.02.2025,,,,,,,
77.3,1,2,3,4,5,6,
Верхний блок,52,52,52,52,,,
,12,12,12,12,,2496,
Тяга к подбородку,21,21,21,21,,,
,16,16,16,16,,1344,
Фронтальная Тяга,45,45,45,45,,,
,12,12,12,12,,2160,
Гантели развод,7,7,7,7,,,
,14,14,14,14,,392,
Нижний блок,47,47,47,47,,,
,12,12,12,12,,2256,
Обр бабочка,38,38,38,38,,,
,16,16,16,16,,2432,
Разгибания из-за головы Триц,17.5,17.5,17.5,17.5,,,
,16,16,16,16,,1120,
штанга биц,20,20,20,20,,,
,16,16,16,16,,1280,
блок триц,25,25,25,25,,,
,16,16,16,16,,1600,
тренажер биц,37,37,37,37,,,
,16,16,16,16,,2368,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,17528,
,,,,,,,
,,,,,,,
10.02.2025,,,,,,,
77.5,1,2,3,4,5,6,
Верхний блок,52,52,52,52,,,
,13,13,13,13,,2704,
Тяга к подбородку,21,21,21,21,,,
,18,18,18,18,,1512,
Фронтальная Тяга,45,45,45,45,,,
,13,13,13,13,,2340,
Гантели развод,7,7,7,7,,,
,18,18,18,18,,504,
Нижний блок,47,47,47,47,,,
,13,13,13,13,,2444,
Обр бабочка,38,38,38,38,,,
,18,18,18,18,,2736,
Разгибания из-за головы Триц,17.5,17.5,17.5,17.5,,,
,16,16,16,16,,1120,
штанга биц,20,20,20,20,,,
,18,18,18,18,,1440,
блок триц,25,25,25,25,,,
,18,18,18,18,,1800,
тренажер биц,37,37,37,37,,,
,18,18,18,18,,2664,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,19344,
,,,,,,,
,,,,,,,
,,,,,,,
26.02.2025,,,,,,,
,1,2,3,4,5,6,
Верхний блок,52,52,52,52,,,
,13,13,13,13,,2704,
Тяга к подбородку,21,21,21,21,,,
,18,18,18,18,,1512,
Фронтальная Тяга,45,45,45,45,,,
,13,13,13,13,,2340,
Гантели развод,7,7,7,7,,,
,18,18,18,18,,504,
Нижний блок,47,47,47,47,,,
,13,13,13,13,,2444,
Обр бабочка,38,38,38,38,,,
,18,18,18,18,,2736,
Разгибания из-за головы Триц,17.5,17.5,17.5,17.5,,,
,18,18,18,18,,1260,
штанга биц,20,20,20,20,,,
,18,18,18,18,,1440,
блок триц,25,25,25,25,,,
,18,18,18,18,,1800,
тренажер биц,37,37,37,37,,,
,18,18,18,18,,2664,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,19484,
,,,,,,,
,,,,,,,
02.03.2025,,,,,,,
77.1,1,2,3,4,5,6,
Верхний блок,57,57,57,57,,,
,14,14,14,14,,3192,
Тяга к подбородку,24.5,24.5,24.5,24.5,,,
,13,13,13,13,,1274,
Фронтальная Тяга,45,45,45,45,,,
,14,14,14,14,,2520,
Гантели развод,8,8,8,8,,,
,13,13,13,13,,416,
Нижний блок,47,47,47,47,,,
,14,14,14,14,,2632,
Обр бабочка,42.5,42.5,42.5,42.5,,,
,13,13,13,13,,2210,
Разгибания из-за головы Триц,21,21,21,21,,,
,13,13,13,13,,1092,
штанга биц,22.5,22.5,22.5,22.5,,,
,13,13,13,13,,1170,
блок триц,27.5,27.5,27.5,27.5,,,
,13,13,13,13,,1430,
тренажер биц,48.5,48.5,48.5,48.5,,,
,14,14,14,14,,2716,
Пресс низ +колесо,1,1,1,1,,,
,30,30,30,30,,120,
